order_id,product_name,category,units_sold,unit_price,total_revenue,sale_date,region,store_id
1,Sunglasses,Apparel,2,44.99,89.98,2024-01-04,East,104
2,Sunglasses,Apparel,9,44.99,404.91,2024-01-12,International,107
3,Running Shoes,Apparel,9,119.99,1079.91,2024-03-18,North,104
4,Desk Lamp,Home,4,39.99,159.96,03/15/2024,International,105
5,Green Tea Pack,Food,3,12.99,38.97,2024-03-30,West,106
6,Green Tea Pack,Food,6,12.99,77.94,2024-01-14,North,107
7,Backpack,Apparel,5,54.99,274.95,2024-01-06,West,102
8,Water Bottle,Sports,5,19.99,99.95,2024-03-21,International,106
9,Wireless Headphones,Electronics,4,89.99,359.96,2024-02-07,North,104
10,Notebook Set,Office,6,14.99,89.94,2024-01-21,East,106
11,Mechanical Keyboard,Electronics,2,129.99,259.98,2024-03-18,South,104
12,Mechanical Keyboard,Electronics,9,129.99,1169.91,2024-01-29,East,101
13,Coffee Maker,Home,7,79.99,559.93,2024-02-04,North,104
14,Protein Powder,Food,6,49.99,299.94,2024-01-28,West,107
15,Bluetooth Speaker,Electronics,5,59.99,299.95,2024-01-18,South,105
16,Backpack,Apparel,7,54.99,384.93,2024-02-16,South,103
17,Wireless Headphones,Electronics,2,89.99,179.98,2024-01-20,South,107
18,Backpack,Apparel,8,54.99,439.92,2024-03-08,East,101
19,Mechanical Keyboard,Electronics,9,129.99,1169.91,2024-02-04,East,102
20,Wireless Headphones,Electronics,5,89.99,449.95,2024-03-05,South,102
21,Sunglasses,Apparel,9,44.99,404.91,2024-03-18,South,103
22,Green Tea Pack,Food,9,12.99,116.91,2024-01-01,International,106
23,Coffee Maker,Home,5,79.99,399.95,2024-01-31,North,104
24,USB-C Hub,Electronics,8,34.99,279.92,2024-01-09,International,103
25,Water Bottle,Sports,3,19.99,59.97,2024-02-03,International,107
26,Green Tea Pack,Food,4,12.99,51.96,2024-02-09,West,106
27,,Electronics,4,34.99,139.96,2024-01-29,North,106
28,Backpack,Apparel,4,54.99,219.96,2024-01-01,North,101
29,Monitor Stand,Office,6,34.99,209.94,2024-01-10,International,104
30,Water Bottle,Sports,3,19.99,59.97,2024-03-14,International,108
31,Desk Lamp,Home,4,39.99,159.96,2024-01-13,North,107
32,Monitor Stand,Office,1,34.99,34.99,2024-03-27,North,101
33,Monitor Stand,Office,2,34.99,69.98,2024-02-01,South,104
34,Bluetooth Speaker,Electronics,5,59.99,299.95,2024-02-29,South,102
35,Water Bottle,Sports,2,19.99,39.98,2024-01-07,International,101
36,Monitor Stand,Office,4,34.99,139.96,2024-01-22,West,108
37,Mechanical Keyboard,Electronics,1,129.99,129.99,2024-01-22,West,101
38,Green Tea Pack,Food,8,12.99,103.92,2024-02-06,West,108
39,Wireless Headphones,Electronics,10,89.99,899.9,2024-03-10,North,106
40,Water Bottle,Sports,9,19.99,179.91,2024-01-21,North,102
41,USB-C Hub,Electronics,4,34.99,139.96,2024-02-21,North,104
42,USB-C Hub,Electronics,7,34.99,244.93,2024-03-25,International,106
43,Protein Powder,Food,6,49.99,299.94,2024-01-31,East,107
44,Notebook Set,Office,6,14.99,89.94,2024-01-10,North,108
45,USB-C Hub,Electronics,2,34.99,69.98,2024-03-09,South,105
46,USB-C Hub,Electronics,4,34.99,139.96,2024-02-17,East,103
47,Yoga Mat,Sports,10,29.99,299.9,2024-03-24,International,101
48,Mechanical Keyboard,Electronics,2,129.99,259.98,2024-01-18,East,102
49,Bluetooth Speaker,Electronics,5,59.99,299.95,2024-02-06,International,104
